Program ID,Program Name,Disease,Intervention,Year,Date,Cumulative QALYs,Annual QALYs
BP1,Thiazide diuretics,Hypertension,Thiazide diuretics,1,2020-06-03 17:48:13.443736,69.23,69.23
BP1,Thiazide diuretics,Hypertension,Thiazide diuretics,2,2021-06-03 17:48:13.443736,164.3,102.7
BP1,Thiazide diuretics,Hypertension,Thiazide diuretics,3,2022-06-03 17:48:13.443736,222.9,99.7
BP1,Thiazide diuretics,Hypertension,Thiazide diuretics,4,2023-06-03 17:48:13.443736,285.78,100.98
BP1,Thiazide diuretics,Hypertension,Thiazide diuretics,5,2024-06-02 17:48:13.443736,370.9,124.5
BP1,Thiazide diuretics,Hypertension,Thiazide diuretics,6,2025-06-02 17:48:13.443736,533.57,225.57
BP1,Thiazide diuretics,Hypertension,Thiazide diuretics,7,2026-06-02 17:48:13.443736,512.42,142.82
BP1,Thiazide diuretics,Hypertension,Thiazide diuretics,8,2027-06-02 17:48:13.443736,581.23,150.03
BP1,Thiazide diuretics,Hypertension,Thiazide diuretics,9,2028-06-01 17:48:13.443736,802.79,309.99
BP1,Thiazide diuretics,Hypertension,Thiazide diuretics,10,2029-06-01 17:48:13.443736,731.97,177.57
BP2,ACE Inhibitors,Hypertension,ACE Inhibitors,1,2020-06-03 17:48:13.444732,64.52,64.52
BP2,ACE Inhibitors,Hypertension,ACE Inhibitors,2,2021-06-03 17:48:13.444732,114.07,57.59
BP2,ACE Inhibitors,Hypertension,ACE Inhibitors,3,2022-06-03 17:48:13.444732,218.11,105.15
BP2,ACE Inhibitors,Hypertension,ACE Inhibitors,4,2023-06-03 17:48:13.444732,304.77,135.33
BP2,ACE Inhibitors,Hypertension,ACE Inhibitors,5,2024-06-02 17:48:13.444732,313.88,87.96
BP2,ACE Inhibitors,Hypertension,ACE Inhibitors,6,2025-06-02 17:48:13.444732,395.21,112.81
BP2,ACE Inhibitors,Hypertension,ACE Inhibitors,7,2026-06-02 17:48:13.444732,470.29,131.41
BP2,ACE Inhibitors,Hypertension,ACE Inhibitors,8,2027-06-02 17:48:13.444732,567.51,172.15
BP2,ACE Inhibitors,Hypertension,ACE Inhibitors,9,2028-06-01 17:48:13.444732,709.46,257.62
BP2,ACE Inhibitors,Hypertension,ACE Inhibitors,10,2029-06-01 17:48:13.444732,616.54,108.22
BP3,ARBs,Hypertension,ARBs,1,2020-06-03 17:48:13.444732,183.68,183.68
BP3,ARBs,Hypertension,ARBs,2,2021-06-03 17:48:13.444732,351.31,203.39
BP3,ARBs,Hypertension,ARBs,3,2022-06-03 17:48:13.444732,528.39,232.55
BP3,ARBs,Hypertension,ARBs,4,2023-06-03 17:48:13.444732,737.16,293.4
BP3,ARBs,Hypertension,ARBs,5,2024-06-02 17:48:13.444732,1019.05,427.37
BP3,ARBs,Hypertension,ARBs,6,2025-06-02 17:48:13.444732,1311.49,571.89
BP3,ARBs,Hypertension,ARBs,7,2026-06-02 17:48:13.444732,1153.31,265.79
BP3,ARBs,Hypertension,ARBs,8,2027-06-02 17:48:13.444732,1447.65,412.21
BP3,ARBs,Hypertension,ARBs,9,2028-06-01 17:48:13.444732,1390.54,207.18
BP3,ARBs,Hypertension,ARBs,10,2029-06-01 17:48:13.444732,1821.7,490.42
BP4,Calcium Channel Blockers,Hypertension,Calcium Channel Blockers,1,2020-06-03 17:48:13.444732,194.6,194.6
BP4,Calcium Channel Blockers,Hypertension,Calcium Channel Blockers,2,2021-06-03 17:48:13.444732,348.36,205.88
BP4,Calcium Channel Blockers,Hypertension,Calcium Channel Blockers,3,2022-06-03 17:48:13.444732,487.3,202.34
BP4,Calcium Channel Blockers,Hypertension,Calcium Channel Blockers,4,2023-06-03 17:48:13.444732,644.18,216.74
